County/State,"Population estimates, July 1, 2019,  (V2019)","Population estimates, July 1, 2018,  (V2018)","Population estimates base, April 1, 2010,  (V2019)","Population estimates base, April 1, 2010,  (V2018)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2018,  (V2018)","Population, Census, April 1, 2010","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2014-2018","Foreign born persons, percent, 2014-2018","Housing units,  July 1, 2018,  (V2018)","Owner-occupied housing unit rate, 2014-2018","Median value of owner-occupied housing units, 2014-2018","Median selected monthly owner costs -with a mortgage, 2014-2018","Median selected monthly owner costs -without a mortgage, 2014-2018","Median gross rent, 2014-2018","Building permits, 2018","Households, 2014-2018","Persons per household, 2014-2018","Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","Households with a computer, percent, 2014-2018","Households with a broadband Internet subscription, percent, 2014-2018","High school graduate or higher, percent of persons age 25 years+, 2014-2018","Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018","With a disability, under age 65 years, percent, 2014-2018","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2014-2018","In civilian labor force, female, percent of population age 16 years+, 2014-2018","Total accommodation and food services sales, 2012 ($1,000)","Total health care and social assistance receipts/revenue, 2012 ($1,000)","Total manufacturers shipments, 2012 ($1,000)","Total merchant wholesaler sales, 2012 ($1,000)","Total retail sales, 2012 ($1,000)","Total retail sales per capita, 2012","Mean travel time to work (minutes), workers age 16 years+, 2014-2018","Median household income (in 2018 dollars), 2014-2018","Per capita income in past 12 months (in 2018 dollars), 2014-2018","Persons in poverty, percent","Total employer establishments, 2017","Total employment, 2017","Total annual payroll, 2017 ($1,000)","Total employment, percent change, 2016-2017","Total nonemployer establishments, 2017","All firms, 2012","Men-owned firms, 2012","Women-owned firms, 2012","Minority-owned firms, 2012","Nonminority-owned firms, 2012","Veteran-owned firms, 2012","Nonveteran-owned firms, 2012","Population per square mile, 2010","Land area in square miles, 2010",FIPS Code
New Jersey,8882190,8908520,8791978,8791962,1.0,1.3,8791894,5.8,21.9,16.1,51.1,72.0,15.0,0.6,10.0,0.1,2.3,20.6,54.9,333835,22.2,3628302,63.9,327900,2439,1031,1295,27942,3213362,2.71,89.9,31.0,90.1,84.1,89.5,38.9,6.6,8.7,65.5,60.1,19673558,60375232,108854971.0,288467844.0,133665728,15079,31.7,79363,40895,9.5,233907,3679443,220310440,1.2,716918,792088,464592,252944,237242,533808,57996,707975,1195.5,7354.22,34
Atlantic County,263670,265429,274525,274521,-4.0,-3.3,274549,5.4,21.2,17.9,51.6,71.1,17.1,0.7,8.3,0.1,2.7,19.2,55.9,12963,16.2,128409,67.4,218300,1979,890,1094,833,99874,2.63,87.0,26.9,88.8,80.7,86.9,27.4,9.3,9.6,64.8,61.3,4008546,1969273,285412.0,,4292714,15586,24.3,59989,31366,12.8,6239,103653,4170150,-2.1,17255,21211,11850,7026,4969,15444,1425,18637,494.1,555.7,34001
Bergen County,932202,936692,905107,905143,3.0,3.5,905116,5.3,21.2,17.2,51.5,73.0,7.3,0.5,16.9,0.1,2.2,20.6,55.7,27903,30.7,359291,64.4,459200,3007,1254,1454,2849,338249,2.72,91.3,39.7,92.1,88.6,92.2,48.3,4.3,8.7,66.0,59.3,2016749,9302959,12577581.0,77906550.0,20349156,22145,32.7,95837,48426,6.8,31916,436581,26796163,-0.2,98170,110267,63895,34576,31395,75344,7713,98227,3884.5,233.01,34003
Burlington County,445349,445384,448730,448730,-0.8,-0.7,448734,5.1,20.8,16.9,50.7,73.1,18.2,0.3,5.3,0.1,2.9,8.3,67.0,29527,9.7,179893,75.7,247600,2101,897,1299,1268,165496,2.63,89.2,13.1,92.2,87.3,93.6,37.5,7.7,5.4,65.5,62.1,771418,2710591,5496624.0,14927387.0,6868632,15218,29.7,84992,41517,6.2,10444,180194,9509218,-1.1,29235,32404,19316,9473,6296,24687,3105,27554,561.9,798.58,34005
Camden County,506471,507078,513535,513719,-1.4,-1.3,513657,6.1,22.7,15.7,51.8,69.2,21.6,0.6,6.0,0.1,2.5,17.2,56.3,23682,11.0,206146,66.7,195800,1936,919,1051,765,187158,2.67,88.3,20.7,88.8,82.1,88.4,31.8,9.6,8.1,65.9,61.5,789366,4238421,,4906711.0,6445832,12552,28.3,67118,34280,12.9,11518,181720,9007850,1.7,31368,36710,22018,11432,9352,26008,3604,31739,2321.5,221.26,34007
Cape May County,92039,92560,97257,97261,-5.4,-4.8,97265,4.6,17.5,26.6,51.1,91.8,4.9,0.3,1.0,0.1,1.9,7.9,85.2,6783,4.8,99436,77.6,296600,1884,775,1112,643,39904,2.28,88.4,9.1,89.0,82.7,91.2,31.5,9.2,8.0,56.9,52.5,592998,443661,98208.0,,1639427,17023,22.7,63690,38496,10.3,3850,26890,1106046,-2.2,8387,10928,6043,3319,675,9985,881,9437,386.9,251.43,34009
Cumberland County,149527,150972,156627,156633,-4.5,-3.6,156898,6.3,23.9,15.3,49.0,71.9,21.9,1.6,1.5,0.1,3.0,31.4,45.9,6521,10.4,56490,64.4,162500,1611,728,1028,74,50608,2.77,88.0,27.9,82.7,74.4,77.9,14.7,10.1,10.7,56.0,56.2,173701,872101,2811963.0,2422383.0,2049003,12986,24.0,52593,23946,15.2,2815,47231,1880237,2.5,6096,8322,5083,2245,2388,5504,807,7018,324.4,483.7,34011
Essex County,798975,799767,783891,783885,1.9,2.0,783969,6.6,23.6,13.6,51.9,49.0,41.9,0.7,5.8,0.1,2.4,23.5,30.5,18906,26.5,318813,44.2,372600,2823,1302,1143,2053,282502,2.73,89.5,35.1,87.4,78.5,85.7,34.8,8.1,11.6,65.8,61.8,1378698,6274291,5942038.0,13657695.0,9204586,11685,34.6,59302,37141,14.9,18874,292219,17747947,1.1,69794,75564,39994,29092,35331,37784,4543,68453,6211.5,126.21,34013
Gloucester County,291636,291408,288756,288570,1.0,1.0,288288,5.2,21.8,15.8,51.3,83.1,11.2,0.3,3.1,0.1,2.2,6.4,78.1,15013,5.3,113903,80.2,216700,2067,875,1186,640,104587,2.74,90.3,8.8,91.7,86.2,92.9,31.9,8.9,5.2,67.4,62.1,406593,1298161,12683585.0,16524394.0,4452888,15377,30.5,85160,37888,7.6,6092,96513,4115401,3.4,17022,18125,10561,5663,2569,14835,1776,15556,895.3,322.01,34015
Hudson County,672391,676061,634284,634245,6.0,6.6,634266,6.9,20.4,11.8,50.2,64.7,14.8,1.1,16.4,0.2,2.7,42.9,28.8,12172,42.8,284142,31.5,364100,2730,1136,1340,4617,255429,2.59,86.5,59.2,89.7,83.4,84.2,40.9,6.0,12.9,68.9,62.3,1214543,2397648,2682881.0,26043076.0,6647592,10191,36.0,66289,38147,14.3,13550,231615,16807534,5.4,58450,61484,33388,22648,33607,25747,3090,56449,13731.4,46.19,34017
